sample,batch,group,benchmark
P1_PP_0064_0108_1,1,0,0
P1_PP_0064_0108_2,1,0,0
P1_AA_0064_0108_0,1,0,0
P1_AA_0064_0108_1,1,0,0
P1_AA_0064_0108_2,1,0,0
P2_S_AA_0002_0108_0,1,0,0
P2_S_AA_0002_0108_1,1,0,0
P2_S_AA_0002_0108_2,1,0,0
P2_S_AAFAPP_0016_0108_0,1,0,0
P2_S_AAFAPP_0016_0108_1,1,0,0
P2_S_AAFAPP_0016_0108_2,1,0,0
P1_AAFAPP_0032_0108_0,1,0,0
P1_AAFAPP_0032_0108_1,1,0,0
P1_AAFAPP_0032_0108_2,1,0,0
P1_13C_0512_0108_0,1,0,0
P1_13C_0512_0108_1,1,0,0
P1_13C_0512_0108_2,1,0,0
P1_AAFAPP_0256_0108_0,1,0,0
P1_AAFAPP_0256_0108_1,1,0,0
P1_AAFAPP_0256_0108_2,1,0,0
P2_S_AAFAPP_0002_0108_0,1,0,0
P2_S_AAFAPP_0002_0108_1,1,0,0
P2_S_AAFAPP_0002_0108_2,1,0,0
P2_S_AA_0064_0108_0,1,0,0
P2_S_AA_0064_0108_1,1,0,0
P1_S_0128_0108_0,1,0,0
P1_S_0128_0108_1,1,0,0
P1_S_0128_0108_2,1,0,0
P2_S_AA_0016_0108_0,1,0,0
P2_S_AA_0016_0108_1,1,0,0
P2_S_AA_0016_0108_2,1,0,0
P2_S_FA_0064_0108_0,1,0,0
P2_S_FA_0064_0108_1,1,0,0
P2_S_FA_0064_0108_2,1,0,0
P1_S_2048_0108_0,1,0,0
P1_S_2048_0108_1,1,0,0
P1_S_2048_0108_2,1,0,0
P1_AA_0002_0108_0,1,0,0
P1_AA_0002_0108_1,1,0,0
P1_AA_0002_0108_2,1,0,0
P1_AA_0008_0108_0,1,0,0
P1_AA_0008_0108_1,1,0,0
P1_AA_0008_0108_2,1,0,0
P2_AAFAPP_0008_0108_0,1,0,0
P2_AAFAPP_0008_0108_1,1,0,0
P2_AAFAPP_0008_0108_2,1,0,0
P1_AA_0004_0108_0,1,0,0
P1_AA_0004_0108_1,1,0,0
P1_AA_0004_0108_2,1,0,0
P1_S_0016_0108_0,1,0,0
P1_S_0016_0108_1,1,0,0
P1_S_0016_0108_2,1,0,0
P1_13C_0002_0108_0,1,0,0
P1_13C_0002_0108_1,1,0,0
P1_13C_0002_0108_2,1,0,0
P2_AAFAPP_1024_0108_0,1,0,0
P2_AAFAPP_1024_0108_1,1,0,0
P2_AAFAPP_1024_0108_2,1,0,0
P2_S_PP_0032_0108_0,1,0,0
P2_S_PP_0032_0108_1,1,0,0
P2_S_PP_0032_0108_2,1,0,0
P2_S_0512_0108_0,1,0,0
P2_S_0512_0108_1,1,0,0
P2_S_0512_0108_2,1,0,0
P1_AA_0128_0108_0,1,0,0
P1_AA_0128_0108_1,1,0,0
P1_AA_0128_0108_2,1,0,0
P2_S_AA_0004_0108_0,1,0,0
P2_S_AA_0004_0108_1,1,0,0
P2_S_AA_0004_0108_2,1,0,0
P1_13C_0128_0108_0,1,0,0
P1_13C_0128_0108_1,1,0,0
P1_13C_0128_0108_2,1,0,0
P1_13C_0004_0108_0,1,0,0
P1_13C_0004_0108_1,1,0,0
P1_13C_0004_0108_2,1,0,0
P1_AAFAPP_1024_0108_0,1,0,0
P1_AAFAPP_1024_0108_1,1,0,0
P1_AAFAPP_1024_0108_2,1,0,0
P2_S_0128_0108_0,1,0,0
P2_S_0128_0108_1,1,0,0
P2_S_0128_0108_2,1,0,0
P1_FA_0256_0108_0,1,0,0
P1_FA_0256_0108_1,1,0,0
P1_FA_0256_0108_2,1,0,0
P2_S_13C_0016_0108_0,1,0,0
P2_S_13C_0016_0108_1,1,0,0
P2_S_13C_0016_0108_2,1,0,0
P1_S_1024_0108_0,1,0,0
P1_S_1024_0108_1,1,0,0
P1_S_1024_0108_2,1,0,0
P2_AAFAPP_0032_0108_0,1,0,0
P2_AAFAPP_0032_0108_1,1,0,0
P2_AAFAPP_0032_0108_2,1,0,0
P2_S_1024_0108_0,1,0,0
P2_S_1024_0108_1,1,0,0
P2_S_1024_0108_2,1,0,0
P2_S_AA_0008_0108_0,1,0,0
P2_S_AA_0008_0108_1,1,0,0
P2_S_AA_0008_0108_2,1,0,0
P2_AAFAPP_0064_0108_0,1,0,0
P2_AAFAPP_0064_0108_1,1,0,0
P2_AAFAPP_0064_0108_2,1,0,0
P1_S_0032_0108_0,1,0,0
P1_S_0032_0108_1,1,0,0
P1_S_0032_0108_2,1,0,0
P1_FA_0032_0108_0,1,0,0
P1_FA_0032_0108_1,1,0,0
P1_FA_0032_0108_2,1,0,0
P1_AA_0001_0108_0,1,0,0
P1_AA_0001_0108_1,1,0,0
P1_AA_0001_0108_2,1,0,0
P2_AAFAPP_0016_0108_0,1,0,0
P2_AAFAPP_0016_0108_1,1,0,0
P2_AAFAPP_0016_0108_2,1,0,0
P1_AA_0016_0108_0,1,0,0
P1_AA_0016_0108_1,1,0,0
P1_AA_0016_0108_2,1,0,0
P2_S_0256_0108_0,1,0,0
P2_S_0256_0108_1,1,0,0
P2_S_0256_0108_2,1,0,0
P2_S_PP_0016_0108_0,1,0,0
P2_S_PP_0016_0108_1,1,0,0
P2_S_PP_0016_0108_2,1,0,0
P1_S_0064_0108_0,1,0,0
P1_S_0064_0108_1,1,0,0
P1_S_0064_0108_2,1,0,0
P2_S_0016_0108_0,1,0,0
P2_S_0016_0108_1,1,0,0
P2_S_0016_0108_2,1,0,0
P1_FA_0512_0108_0,1,0,0
P1_FA_0512_0108_1,1,0,0
P1_FA_0512_0108_2,1,0,0
P1_AAFAPP_2048_0108_0,1,0,0
